Entrez Gene ID	Symbol	MGI ID	Smad1/5 peaks minimal p-value in -8k~+3k	Smad4 peaks minimal p-value in -8k~+3k
14683	Gnas	MGI:95777		3.91E-08
223773	Zbed4	MGI:2682302		4.39E-08
237781	Smcr7	MGI:2144199		5.02E-08
14622	Gjb5	MGI:95723	1.46E-08	5.06E-08
68428	Steap3	MGI:1915678	4.43E-10	5.07E-08
11910	Atf3	MGI:109384		5.07E-08
13449	Dok2	MGI:1332623		5.07E-08
14599	Gh	MGI:95707		5.07E-08
18771	Pknox1	MGI:1201409		5.07E-08
19229	Ptk2b	MGI:104908		5.07E-08
12061	Bdkrb1	MGI:88144		5.07E-08
210573	Tmem151b	MGI:2685169		5.07E-08
17263	Meg3	MGI:1202886		5.07E-08
237560	Lrrc10	MGI:2448063		5.07E-08
18037	Nfkbie	MGI:1194908		5.07E-08
18633	Pex16	MGI:1338829		5.07E-08
27276	Plekhb1	MGI:1351469		5.07E-08
72549	Reep4	MGI:1919799		5.07E-08
60510	Syt9	MGI:1926373		5.07E-08
15395	Hoxa10	MGI:96171		5.63E-08
110078	Pygb	MGI:97828		5.63E-08
19885	Rorc	MGI:104856		5.63E-08
217666	L2hgdh	MGI:2384968		6.40E-08
20404	Sh3gl2	MGI:700009		6.40E-08
216157	ORF61	MGI:2177957		7.52E-08
73827	1110012D08Rik	MGI:1921077		8.45E-08
234577	Cpne2	MGI:2387578		8.45E-08
20459	Ptk6	MGI:99683		8.45E-08
11676	Aldoc	MGI:101863		8.63E-08
320207	Pik3r5	MGI:2443588	1.83E-04	9.04E-08
216613	Ccdc85a	MGI:2445069		9.11E-08
60425	Doc2g	MGI:1926250		9.11E-08
66387	Nudt8	MGI:1913637		9.11E-08
223864	Rapgef3	MGI:2441741		9.11E-08
109660	Ctrl	MGI:88558		1.01E-07
19171	Psmb10	MGI:1096380		1.01E-07
56047	Msln	MGI:1888992		1.01E-07
14086	Fscn1	MGI:1352745	2.44E-04	1.03E-07
216527	Ccm2	MGI:2384924		1.05E-07
17387	Mmp14	MGI:101900		1.05E-07
67664	Rnf125	MGI:1914914		1.05E-07
22019	Tpp2	MGI:102724		1.05E-07
109212	Fam64a	MGI:1924434		1.08E-07
114230	Aipl1	MGI:2148800		1.08E-07
76486	Ly6k	MGI:1923736		1.12E-07
20135	Rrm2	MGI:98181		1.12E-07
243262	Oas1f	MGI:2180855		1.15E-07
399548	Scn4b	MGI:2687406		1.15E-07
72029	Cnpy3	MGI:1919279		1.15E-07
23892	Grem1	MGI:1344337		1.16E-07
20815	Srpk1	MGI:106908		1.16E-07
330695	Ctxn1	MGI:88566		1.27E-07
11972	Atp6v0d1	MGI:1201778	7.24E-08	1.27E-07
20256	Clec11a	MGI:1298219		1.27E-07
15228	Foxg1	MGI:1347464		1.27E-07
21987	Tpd52l1	MGI:1298386		1.27E-07
80749	Lrfn1	MGI:2136810		1.32E-07
11535	Adm	MGI:108058		1.66E-07
223775	Pim3	MGI:1355297	4.95E-04	1.90E-07
216860	Neurl4	MGI:1921092		1.95E-07
216859	Centb1	MGI:2388270		1.95E-07
14824	Grn	MGI:95832	1.20E-04	2.06E-07
66119	Tomm6	MGI:1913369		2.23E-07
99152	Anapc2	MGI:2139135		2.23E-07
107971	Frs3	MGI:2135965		2.23E-07
14865	Gstm4	MGI:95862		2.23E-07
55983	Pdzrn3	MGI:1933157		2.23E-07
20964	Syn1	MGI:98460		2.23E-07
18577	Pde4a	MGI:99558	1.60E-06	2.38E-07
328059	Slc7a15	MGI:3045351		2.38E-07
12064	Bdnf	MGI:88145		2.42E-07
171543	Bmf	MGI:2176433		2.42E-07
12576	Cdkn1b	MGI:104565		2.42E-07
54214	Golga4	MGI:1859646		2.42E-07
12282	Hyou1	MGI:108030		2.42E-07
52250	Reep1	MGI:1098827		2.42E-07
56505	Ruvbl1	MGI:1928760		2.42E-07
28071	Twistnb	MGI:106292		2.42E-07
12181	Bop1	MGI:1334460		2.58E-07
217369	Uts2r	MGI:2183450	9.88E-08	2.81E-07
